,batter_name,batter_team,pitcher_name,avg_ev,avg_la
748595,Aaron Judge,NYY,Alex Cobb,98.83081851560023,21.070754503639836
748606,Giancarlo Stanton,NYY,Alex Cobb,97.40123589108876,2.8738809899375237
18908,Oscar Gonzalez,PHI,Nathan Eovaldi,96.70000000000002,12.0
737668,Gunnar Henderson,BAL,Chris Sale,96.300333709804,2.6190122295718083
743540,Teoscar Hernandez,TOR,Jack Flaherty,95.4576364363478,11.666219387830568
747823,Matt Olson,ATL,Josiah Gray,95.22300888587812,14.685415757047922
738189,Oneil Cruz,PIT,Nick Lodolo,95.01660232299396,6.659935826540937
747787,Austin Riley,ATL,Josiah Gray,94.86042677314396,11.496343516870503
5026,Jose Abreu,HOU,Lucas Giolito,94.67536123609085,7.514050713201267
738639,David Bote,CHC,Brandon Woodruff,94.52737914232807,4.501687062937063
748928,Freddie Freeman,LAD,Madison Bumgarner,94.4691612585535,15.832567920728923
738459,Jonah Heim,TEX,Zack Wheeler,94.4197852633054,16.167654331889786
738630,Franmil Reyes,CHC,Brandon Woodruff,94.24083113578334,13.090058206873582
720874,Salvador Perez,KC,Sonny Gray,93.96514835885338,19.186382888796963
748468,Carlos Santana,SEA,Aaron Civale,93.95704656441167,15.228454813415752
597314,Brad Miller,TEX,Zack Wheeler,93.78049651567945,19.908253038643572
1176,Dansby Swanson,CHC,Brandon Woodruff,93.70340202014549,12.59782105197966
564282,Byron Buxton,MIN,Jordan Lyles,93.69916428086981,23.16413880868302
739594,Luis Torrens,SEA,Aaron Civale,93.68749108034822,6.222545311831026
744165,Albert Pujols,STL,Kevin Gausman,93.67564200326991,14.50730005771984
735136,Tommy Pham,BOS,Dean Kremer,93.58759947568088,9.580657690371371
748466,Mitch Haniger,SEA,Aaron Civale,93.56874377540649,23.06000733626784
345566,Carlos Santana,KC,Sonny Gray,93.56089128801068,15.619935136207204
747981,Bryce Harper,PHI,Nathan Eovaldi,93.55549374935042,15.791789836173168
743546,Matt Chapman,TOR,Jack Flaherty,93.36910378953338,18.489993927534726
739333,James McCann,NYM,Edward Cabrera,93.36594962513699,12.557217473884142
748205,Yordan Alvarez,HOU,Lucas Giolito,93.3566143631063,12.180831170265485
747970,Kyle Schwarber,PHI,Nathan Eovaldi,93.32599439669654,20.961124076794412
743520,Bo Bichette,TOR,Jack Flaherty,93.29652727208607,9.710569090276378
