,batter_name,pitcher_name,avg_ev,avg_la
12954,Oscar Gonzalez,Jacob deGrom,96.7,12.0
742641,Aaron Judge,Logan Webb,96.67410273980573,16.762004216156846
742652,Giancarlo Stanton,Logan Webb,95.6963764301682,8.431305873292967
731714,Gunnar Henderson,Corey Kluber,94.9773664271014,2.4495783222601997
742251,Yordan Alvarez,Dylan Cease,94.72788281396802,12.598537128731758
741869,Matt Olson,Patrick Corbin,93.74307541248527,15.420957748863755
732685,David Bote,Corbin Burnes,93.63023565880499,5.389026674618006
741833,Austin Riley,Patrick Corbin,93.57775595393744,12.676337644256835
737586,Teoscar Hernandez,Miles Mikolas,93.54378058391592,11.155688376048278
558328,Byron Buxton,Zack Greinke,93.2843486018636,22.23484440229501
732235,Oneil Cruz,Hunter Greene,93.21823742188438,6.129456978070735
742016,Kyle Schwarber,Jacob deGrom,93.08254505074851,20.242997531151705
731845,Shohei Ohtani,Kyle Muller,92.92152222428386,12.407800004238483
729182,Tommy Pham,Kyle Gibson,92.90359998558648,8.911578948190197
742956,Trayce Thompson,Zac Gallen,92.86489571937274,20.659111070361245
737592,Matt Chapman,Miles Mikolas,92.82686510796248,19.916869983580412
742027,Bryce Harper,Jacob deGrom,92.61723502971996,13.776487361311279
732676,Franmil Reyes,Corbin Burnes,92.56149780119749,10.755040467900253
734444,Darick Hall,Jacob deGrom,92.53462190654953,14.127039240894012
742974,Freddie Freeman,Zac Gallen,92.48469924148463,14.18825008642577
472901,J.D. Davis,Sandy Alcantara,92.42795163327222,12.784643066508394
737566,Bo Bichette,Miles Mikolas,92.42708039208964,9.151433145233224
470232,Tommy Pham,Mitch Keller,92.41383288538113,8.074521398043775
581172,Sam Hilliard,Blake Snell,92.39517490134776,12.791346213064742
731840,Mike Trout,Kyle Muller,92.29934007565569,24.93364058024829
141221,Trayce Thompson,German Marquez,92.25853945848388,20.718571919079757
738211,Albert Pujols,Alek Manoah,92.23827122052532,15.231257902730205
734230,Rafael Devers,Kyle Gibson,92.0885168558697,7.5473297710080836
742512,Mitch Haniger,Shane Bieber,92.02459049273838,19.679180800337573
735497,Keston Hiura,Marcus Stroman,92.00474698281317,17.01580652813924
714920,Salvador Perez,Pablo Lopez,91.96689064006007,17.324214292286392
